group,variable,value
01-01,2000,91
01-02,2000,89
01-03,2000,107
01-04,2000,37
01-05,2000,70
01-06,2000,95
01-07,2000,68
01-08,2000,80
01-09,2000,82
01-10,2000,85
01-11,2000,40
01-12,2000,60
01-13,2000,37
01-14,2000,51
01-15,2000,112
01-16,2000,52
01-17,2000,65
01-18,2000,129
01-19,2000,67
01-20,2000,58
01-21,2000,61
01-22,2000,124
01-23,2000,124
01-24,2000,74
01-25,2000,110
01-26,2000,30
01-27,2000,42
01-28,2000,68
01-29,2000,96
01-30,2000,82
01-31,2000,116
02-01,2000,57
02-02,2000,63
02-03,2000,113
02-04,2000,76
02-05,2000,51
02-06,2000,80
02-07,2000,72
02-08,2000,104
02-09,2000,136
02-10,2000,116
02-11,2000,50
02-12,2000,67
02-13,2000,80
02-14,2000,62
02-15,2000,89
02-16,2000,86
02-17,2000,115
02-18,2000,97
02-19,2000,49
02-20,2000,72
02-21,2000,111
02-22,2000,120
02-23,2000,87
02-24,2000,97
02-25,2000,137
02-26,2000,115
02-27,2000,48
02-28,2000,64
02-29,2000,123
03-01,2000,140
03-02,2000,59
03-03,2000,60
03-04,2000,69
03-05,2000,79
03-06,2000,75
03-07,2000,93
03-08,2000,81
03-09,2000,75
03-10,2000,37
03-11,2000,43
03-12,2000,57
03-13,2000,75
03-14,2000,77
03-15,2000,84
03-16,2000,37
03-17,2000,30
03-18,2000,102
03-19,2000,101
03-20,2000,75
03-21,2000,104
03-22,2000,131
03-23,2000,114
03-24,2000,105
03-25,2000,66
03-26,2000,70
03-27,2000,96
03-28,2000,60
03-29,2000,28
03-30,2000,47
03-31,2000,77
04-01,2000,89
04-02,2000,102
04-03,2000,136
04-04,2000,30
04-05,2000,66
04-06,2000,82
04-07,2000,41
04-08,2000,35
04-09,2000,52
04-10,2000,39
04-11,2000,56
04-12,2000,68
04-13,2000,112
04-14,2000,109
04-15,2000,111
04-16,2000,80
04-17,2000,58
04-18,2000,111
04-19,2000,86
04-20,2000,75
04-21,2000,56
04-22,2000,51
04-23,2000,80
04-24,2000,56
04-25,2000,80
04-26,2000,97
04-27,2000,73
04-28,2000,71
04-29,2000,58
04-30,2000,109
05-01,2000,75
05-02,2000,110
05-03,2000,163
05-04,2000,62
05-05,2000,106
05-06,2000,120
05-07,2000,108
05-08,2000,123
05-09,2000,69
05-10,2000,37
05-11,2000,128
05-12,2000,106
05-13,2000,41
05-14,2000,42
05-15,2000,50
05-16,2000,74
05-17,2000,114
05-18,2000,70
05-19,2000,27
05-20,2000,46
05-21,2000,143
05-22,2000,79
05-23,2000,81
05-24,2000,77
05-25,2000,43
05-26,2000,46
05-27,2000,40
05-28,2000,128
05-29,2000,52
05-30,2000,125
05-31,2000,74
06-01,2000,128
06-02,2000,62
06-03,2000,51
06-04,2000,107
06-05,2000,71
06-06,2000,45
06-07,2000,64
06-08,2000,143
06-09,2000,185
06-10,2000,161
06-11,2000,76
06-12,2000,79
06-13,2000,65
06-14,2000,90
06-15,2000,50
06-16,2000,103
06-17,2000,75
06-18,2000,64
06-19,2000,97
06-20,2000,113
06-21,2000,76
06-22,2000,76
06-23,2000,107
06-24,2000,132
06-25,2000,74
06-26,2000,99
06-27,2000,43
06-28,2000,38
06-29,2000,62
06-30,2000,51
07-01,2000,105
07-02,2000,133
07-03,2000,59
07-04,2000,80
07-05,2000,75
07-06,2000,101
07-07,2000,65
07-08,2000,92
07-09,2000,80
07-10,2000,54
07-11,2000,50
07-12,2000,54
07-13,2000,151
07-14,2000,63
07-15,2000,35
07-16,2000,50
07-17,2000,96
07-18,2000,44
07-19,2000,69
07-20,2000,54
07-21,2000,32
07-22,2000,34
07-23,2000,104
07-24,2000,59
07-25,2000,74
07-26,2000,93
07-27,2000,126
07-28,2000,108
07-29,2000,76
07-30,2000,108
07-31,2000,119
08-01,2000,73
08-02,2000,60
08-03,2000,32
08-04,2000,87
08-05,2000,91
08-06,2000,100
08-07,2000,82
08-08,2000,71
08-09,2000,57
08-10,2000,62
08-11,2000,55
08-12,2000,48
08-13,2000,62
08-14,2000,105
08-15,2000,100
08-16,2000,45
08-17,2000,44
08-18,2000,40
08-19,2000,50
08-20,2000,55
08-21,2000,44
08-22,2000,117
08-23,2000,80
08-24,2000,81
08-25,2000,79
08-26,2000,93
08-27,2000,80
08-28,2000,130
08-29,2000,113
08-30,2000,102
08-31,2000,146
09-01,2000,101
09-02,2000,82
09-03,2000,105
09-04,2000,32
09-05,2000,135
09-06,2000,161
09-07,2000,134
09-08,2000,80
09-09,2000,95
09-10,2000,70
09-11,2000,90
09-12,2000,66
09-13,2000,101
09-14,2000,116
09-15,2000,43
09-16,2000,65
09-17,2000,62
09-18,2000,131
09-19,2000,123
09-20,2000,103
09-21,2000,43
09-22,2000,80
09-23,2000,54
09-24,2000,25
09-25,2000,46
09-26,2000,76
09-27,2000,76
09-28,2000,70
09-29,2000,110
09-30,2000,125
10-01,2000,111
10-02,2000,105
10-03,2000,75
10-04,2000,44
10-05,2000,104
10-06,2000,38
10-07,2000,31
10-08,2000,23
10-09,2000,31
10-10,2000,39
10-11,2000,50
10-12,2000,87
10-13,2000,101
10-14,2000,74
10-15,2000,126
10-16,2000,66
10-17,2000,87
10-18,2000,76
10-19,2000,94
10-20,2000,99
10-21,2000,85
10-22,2000,110
10-23,2000,89
10-24,2000,125
10-25,2000,90
10-26,2000,149
10-27,2000,103
10-28,2000,25
10-29,2000,50
10-30,2000,63
10-31,2000,107
11-01,2000,139
11-02,2000,124
11-03,2000,58
11-04,2000,46
11-05,2000,104
11-06,2000,119
11-07,2000,104
11-08,2000,85
11-09,2000,72
11-10,2000,21
11-11,2000,19
11-12,2000,81
11-13,2000,105
11-14,2000,65
11-15,2000,106
11-16,2000,101
11-17,2000,48
11-18,2000,60
11-19,2000,81
11-20,2000,109
11-21,2000,34
11-22,2000,43
11-23,2000,92
11-24,2000,106
11-25,2000,111
11-26,2000,67
11-27,2000,62
11-28,2000,84
11-29,2000,75
11-30,2000,49
12-01,2000,37
12-02,2000,56
12-03,2000,60
12-04,2000,76
12-05,2000,72
12-06,2000,65
12-07,2000,90
12-08,2000,115
12-09,2000,69
12-10,2000,111
12-11,2000,72
12-12,2000,47
12-13,2000,95
12-14,2000,85
12-15,2000,102
12-16,2000,69
12-17,2000,90
12-18,2000,77
12-19,2000,101
12-20,2000,144
12-21,2000,113
12-22,2000,58
12-23,2000,102
12-24,2000,53
12-25,2000,56
12-26,2000,90
12-27,2000,69
12-28,2000,45
12-29,2000,70
12-30,2000,49
12-31,2000,31
01-01,2001,52
01-02,2001,64
01-03,2001,86
01-04,2001,67
01-05,2001,75
01-06,2001,102
01-07,2001,124
01-08,2001,42
01-09,2001,54
01-10,2001,151
01-11,2001,108
01-12,2001,127
01-13,2001,130
01-14,2001,107
01-15,2001,103
01-16,2001,73
01-17,2001,62
01-18,2001,85
01-19,2001,91
01-20,2001,44
01-21,2001,78
01-22,2001,103
01-23,2001,114
01-24,2001,89
01-25,2001,52
01-26,2001,110
01-27,2001,53
01-28,2001,103
01-29,2001,83
01-30,2001,63
01-31,2001,74
02-01,2001,63
02-02,2001,62
02-03,2001,87
02-04,2001,91
02-05,2001,85
02-06,2001,86
02-07,2001,75
02-08,2001,133
02-09,2001,91
02-10,2001,24
02-11,2001,112
02-12,2001,128
02-13,2001,91
02-14,2001,87
02-15,2001,139
02-16,2001,75
02-17,2001,25
02-18,2001,66
02-19,2001,99
02-20,2001,75
02-21,2001,40
02-22,2001,54
02-23,2001,62
02-24,2001,116
02-25,2001,59
02-26,2001,38
02-27,2001,55
02-28,2001,40
03-01,2001,66
03-02,2001,96
03-03,2001,92
03-04,2001,72
03-05,2001,51
03-06,2001,23
03-07,2001,46
03-08,2001,74
03-09,2001,39
03-10,2001,64
03-11,2001,91
03-12,2001,126
03-13,2001,70
03-14,2001,65
03-15,2001,72
03-16,2001,56
03-17,2001,54
03-18,2001,53
03-19,2001,66
03-20,2001,101
03-21,2001,91
03-22,2001,86
